experiment,stage,mechanism,evidence_status,v1_role,transfer_use
active-batch-compaction,mechanism,active_compaction,accepted_v1_prior,default,mechanism_prior
allocator-aware-launcher,mechanism,cuda_allocator,accepted_v1_prior,default,mechanism_prior
application-mechanism-atlas,baseline,mechanism_synthesis,benchmark_reference,baseline,mechanism_prior
atombit-blockwise-refill,mechanism,refill_cadence,negative_result,excluded,action_exclusion
atombit-line-search-precision,model_numerics,energy_line_search_precision,mixed_result,optional,mechanism_prior
atombit-smooth-rms-bfgslinesearch-r8,model_numerics,bfgs_line_search,negative_result,excluded,action_exclusion
atombit-smooth-rms-optimizer-frontier,baseline,optimizer_frontier,benchmark_reference,baseline,mechanism_prior
atombit-smooth-rms-validation,model_numerics,smooth_rms_checkpoint,validated_component,optional,protocol_only
baseline,foundation,initial_correctness_baseline,superseded,historical,protocol_only
batch-nvt-npt,md,nvt_npt_integrators,validated_component,future,protocol_only
bfgs-active-refill,mechanism,refill_initial,superseded,historical,mechanism_prior
bfgs-b1-audit,model_numerics,bfgs_ase_parity,validated_component,optional,protocol_only
bfgs-fire-scaling,baseline,optimizer_scaling,benchmark_reference,baseline,mechanism_prior
bfgs-float64-model-scaling,model_numerics,model_precision,benchmark_reference,historical,mechanism_prior
bfgs-grouped-crossover,mechanism,bfgs_linear_algebra_boundary,accepted_v1_prior,default,mechanism_prior
bfgs-grouped-linear-algebra,mechanism,bfgs_grouped_linear_algebra,accepted_v1_prior,default,mechanism_prior
bfgs-grouped-mixed-confirmation,mechanism,bfgs_grouped_mixed,accepted_v1_prior,default,mechanism_prior
bfgs-integration,foundation,bfgs_optimizer,validated_component,default,protocol_only
bfgs-lazy-refill,mechanism,lazy_pending_state,negative_result,optional,action_exclusion
bfgs-line-search-integration,foundation,bfgs_line_search,validated_component,optional,protocol_only
bfgs-line-search-scaling,baseline,bfgs_line_search_scaling,negative_result,excluded,action_exclusion
bfgs-mixed-deterministic-scaling,baseline,bfgs_mixed_precision_scaling,benchmark_reference,baseline,mechanism_prior
calculator-interface,foundation,generic_calculator,validated_component,default,protocol_only
cross-family-memory-calibration,scheduler,memory_calibration,accepted_v1_prior,default,mechanism_prior
cross-family-robustness,baseline,cross_family_scaling,benchmark_reference,baseline,mechanism_prior
cross-mix-scheduling,scheduler,mixed_workload_policy,benchmark_reference,historical,mechanism_prior
cuda-cell-neighbors,mechanism,cuda_cell_neighbors,validated_component,optional,mechanism_prior
cuda-dense-production,mechanism,cuda_dense_neighbors,accepted_v1_prior,default,mechanism_prior
deterministic-memory-scheduler,scheduler,memory_bounded_planning,accepted_v1_prior,default,frozen_baseline
direct-backend-frontier,mechanism,neighbor_backend_frontier,mixed_result,default,mechanism_prior
distributed-cold-pilot,scheduler,multi_gpu_cold_start,benchmark_reference,historical,mechanism_prior
end-to-end-optimization-policy,baseline,automatic_vs_mps,benchmark_reference,baseline,frozen_baseline
eval-batch-capacity,mechanism,static_batch_capacity,benchmark_reference,optional,mechanism_prior
fixed-slot-refill,mechanism,fixed_slot_refill,accepted_v1_prior,default,mechanism_prior
generic-api-rename,foundation,generic_public_api,validated_component,default,protocol_only
heldout-auto-vs-mps,baseline,heldout_scheduler_vs_mps,benchmark_reference,baseline,frozen_baseline
heterogeneous-resident-arena,mechanism,heterogeneous_refill_arena,negative_result,excluded,action_exclusion
hybrid-tail-compaction,mechanism,tail_compaction,negative_result,excluded,action_exclusion
large-batch-optimization-md,baseline,large_batch_optimization_and_md,benchmark_reference,baseline,mechanism_prior
large-batch-relaxation-1024,baseline,large_pool_relaxation,benchmark_reference,baseline,mechanism_prior
mace-batch-optimization-test,foundation,mace_optimizer_parity,validated_component,optional,protocol_only
mace-off-small-adapter,foundation,mace_adapter,validated_component,optional,protocol_only
mace-tensor-state-cache,mechanism,mace_graph_cache,mixed_result,optional,mechanism_prior
mace-variable-cell-scaling-32,baseline,mace_variable_cell_scaling,benchmark_reference,baseline,mechanism_prior
memory-aware-planning-stage3,scheduler,calibrated_memory_planner,mixed_result,historical,mechanism_prior
multi-gpu-resident-packing,scheduler,multi_gpu_memory_packing,accepted_v1_prior,default,mechanism_prior
multi-gpu-sharding,scheduler,multi_gpu_static_sharding,superseded,historical,mechanism_prior
neighbor-backend-screening,mechanism,neighbor_backend_screen,superseded,historical,mechanism_prior
nvalchemi-neighbor-backend,mechanism,nvalchemi_neighbors,negative_result,excluded,action_exclusion
offline-throughput-policy,scheduler,nearest_workload_capacity,negative_result,excluded,action_exclusion
online-autoscheduler,scheduler,online_timing_autotune,superseded,optional,action_exclusion
omc-csp-hardware-calibration,scheduler,layered_hardware_calibration,accepted_v1_prior,default,mechanism_prior
omc-csp-policy-composition,scheduler,policy_composition,candidate,default,frozen_baseline
omc-csp-scheduler-epoch1,scheduler,scheduler_refinement_protocol,candidate,optional,protocol_only
omc-csp-scheduler-epoch2,scheduler,source_backed_lazy_materialization,accepted_v1_prior,default,mechanism_prior
omc-csp-scheduler-epoch3,scheduler,signed_offline_hardware_capacity,mixed_result,default,mechanism_prior
omc-csp-scheduler-v2-outer-policy,scheduler,resident_batch_outer_dispatch,candidate,optional,protocol_only
omc-csp-workload-construction,foundation,omc_csp_workloads,candidate,default,protocol_only
optimizer-interface,foundation,optimizer_protocol,validated_component,default,protocol_only
package-layout,foundation,package_structure,validated_component,default,protocol_only
persistent-batch-executor,scheduler,persistent_workers,validated_component,optional,mechanism_prior
process-worker-autoscheduler,scheduler,process_worker_policy,accepted_v1_prior,default,mechanism_prior
production-batch-scaling,baseline,static_tensor_batching,benchmark_reference,baseline,mechanism_prior
production-relaxation-scaling,baseline,relaxation_vs_ase,benchmark_reference,baseline,mechanism_prior
prompt-executor-shutdown,scheduler,worker_shutdown,accepted_v1_prior,default,mechanism_prior
refill-batch-optimizer-factorial,mechanism,refill_factorial,mixed_result,optional,mechanism_prior
refill-cadence,mechanism,refill_interval,negative_result,excluded,action_exclusion
refill-cross-family-validation,mechanism,refill_family_transfer,accepted_v1_prior,default,mechanism_prior
refill-memory-control,mechanism,refill_allocator_memory,accepted_v1_prior,default,mechanism_prior
refill-offline-predictor,scheduler,offline_refill_evidence,accepted_v1_prior,default,frozen_baseline
refill-policy-stage2,mechanism,threshold_refill,negative_result,excluded,action_exclusion
refill-pool-multigpu-transfer,scheduler,refill_pool_and_gpu_transfer,mixed_result,default,mechanism_prior
resident-packing-r1024-robustness,scheduler,large_pool_resident_packing,mixed_result,historical,action_exclusion
runtime-phase-profiling,foundation,runtime_telemetry,validated_component,default,mechanism_prior
t2-unique3000-auto-bfgs-recalibrated,baseline,t2_large_pool_recalibrated,benchmark_reference,baseline,frozen_baseline
t2-unique3000-auto-bfgs-vs-mps,baseline,t2_large_pool_vs_mps,superseded,historical,mechanism_prior
task-aware-foundation,foundation,workload_manifest_and_telemetry,validated_component,default,protocol_only
task-aware-policy-validation,scheduler,pilot_task_aware_policy,superseded,historical,action_exclusion
task-aware-static-md-foundation,md,static_and_md_workloads,validated_component,future,protocol_only
task-aware-static-md-performance,md,static_and_md_performance,benchmark_reference,future,mechanism_prior
topology-preserving-compaction,mechanism,survivor_topology_preservation,accepted_v1_prior,default,mechanism_prior
unified-auto-scheduling,scheduler,automatic_default_and_summary,candidate,default,frozen_baseline
variable-cell-compaction,mechanism,variable_cell_active_compaction,accepted_v1_prior,default,mechanism_prior
variable-cell-fire,foundation,variable_cell_fire,validated_component,optional,protocol_only
variable-cell-neighbor-cache-pilot,mechanism,variable_cell_cache_pilot,superseded,historical,mechanism_prior
variable-cell-neighbor-cache-scaling,mechanism,variable_cell_cache_scaling,accepted_v1_prior,optional,mechanism_prior
variable-cell-scaling-32,baseline,variable_cell_scaling,benchmark_reference,baseline,mechanism_prior
